"id","listid","test_cue","typed_word","testRT","cue_output_order","cue_study_position","color_condition","cue_condition","presented_color","studyRT","resp","expect_test","use_help","recall_all_q","cue_prioritem","word_prioritem","cue_postitem","word_postitem","resp_study_position","resp_cond"
"19334",2,"train","priest",2526.73499999614,2,6,"blue","process","red",1694.98300001363,"larger","No","No","Yes","process","finger","process","bride",20,"remember"
"19334",2,"train","",3216.18900002888,3,6,"blue","process","red",1694.98300001363,"larger","No","No","Yes","process","finger","process","bride",NA,NA
"19334",2,"fort","palace",4046.12600001553,1,12,"blue","remember","blue",4713.25800001645,"larger","No","No","Yes","process","statue","remember","cigar",22,"remember"
"19334",2,"fort","tower",5800.74300001387,2,12,"blue","remember","blue",4713.25800001645,"larger","No","No","Yes","process","statue","remember","cigar",17,"remember"
"19334",2,"fort","",2116.14800003555,3,12,"blue","remember","blue",4713.25800001645,"larger","No","No","Yes","process","statue","remember","cigar",NA,NA
"19334",2,"bowl","brain",9405.61199999868,1,10,"blue","remember","blue",2849.0480000244,"larger","No","No","Yes","remember","dessert","process","statue",4,"remember"
"19334",2,"bowl","",2566.5200000375,2,10,"blue","remember","blue",2849.0480000244,"larger","No","No","Yes","remember","dessert","process","statue",NA,NA
"19334",2,"toast","chair",5423.35500002839,1,16,"blue","process","red",3074.52700001723,"smaller","No","No","Yes","process","chair","remember","tower",15,"process"
"19334",2,"toast","",6563.59500001895,2,16,"blue","process","red",3074.52700001723,"smaller","No","No","Yes","process","chair","remember","tower",NA,NA
"19334",2,"crown","chair",4341.76299998735,1,14,"blue","process","red",2100.02299999248,"larger","No","No","Yes","remember","cigar","process","chair",15,"process"
"19334",2,"crown","bowl",5461.71999998938,2,14,"blue","process","red",2100.02299999248,"larger","No","No","Yes","remember","cigar","process","chair",10,"remember"
"19334",2,"crown","",2149.38100004359,3,14,"blue","process","red",2100.02299999248,"larger","No","No","Yes","remember","cigar","process","chair",NA,NA
"19334",2,"priest","clown",5749.24900000449,1,20,"blue","remember","blue",3003.7690000385,"smaller","No","No","Yes","process","opera","process","ocean",25,"process"
"19334",2,"priest","bride",3697.58899999864,2,20,"blue","remember","blue",3003.7690000385,"smaller","No","No","Yes","process","opera","process","ocean",7,"process"
"19334",2,"priest","",2516.28100002091,3,20,"blue","remember","blue",3003.7690000385,"smaller","No","No","Yes","process","opera","process","ocean",NA,NA
"19334",2,"pearl","bride",4025.98900002229,1,8,"blue","process","red",3068.71900003671,"smaller","No","No","Yes","process","bride","remember","dessert",7,"process"
"19334",2,"pearl","bowl",4458.79600002756,2,8,"blue","process","red",3068.71900003671,"smaller","No","No","Yes","process","bride","remember","dessert",10,"remember"
"19334",2,"pearl","",3482.06400000281,3,8,"blue","process","red",3068.71900003671,"smaller","No","No","Yes","process","bride","remember","dessert",NA,NA
"19334",2,"virus","train",5147.45600004238,1,24,"blue","process","red",1280.19500001171,"smaller","No","No","Yes","remember","railroad","process","clown",6,"process"
"19334",2,"virus","railroad",2243.99000002607,2,24,"blue","process","red",1280.19500001171,"smaller","No","No","Yes","remember","railroad","process","clown",23,"remember"
"19334",2,"virus","",4565.06100003386,3,24,"blue","process","red",1280.19500001171,"smaller","No","No","Yes","remember","railroad","process","clown",NA,NA
"19331",2,"soda","toast",7305.26100000297,1,18,"blue","remember","blue",985.181999998982,"smaller","No","No","No","remember","couch","remember","robot",8,"remember"
"19331",2,"soda","",4654.18699999945,2,18,"blue","remember","blue",985.181999998982,"smaller","No","No","No","remember","couch","remember","robot",NA,NA
"19331",2,"stairs","dentist",7940.08800000197,1,22,"blue","process","red",916.748000000662,"larger","No","No","No","process","bible","process","bowl",15,"process"
"19331",2,"stairs","eart",4020.24500000256,2,22,"blue","process","red",916.748000000662,"larger","No","No","No","process","bible","process","bowl",NA,NA
"19331",2,"toast","pipe",3836.23600000259,1,8,"blue","remember","blue",2049.00299999892,"smaller","No","No","No","process","airplane","remember","liver",29,"process"
"19331",2,"toast","cookie",4375.49200000172,2,8,"blue","remember","blue",2049.00299999892,"smaller","No","No","No","process","airplane","remember","liver",12,"process"
"19331",2,"toast","",3736.92600000312,3,8,"blue","remember","blue",2049.00299999892,"smaller","No","No","No","process","airplane","remember","liver",NA,NA
"19331",2,"banana","devil",3600.02200000209,1,4,"blue","remember","blue",1493.14200000203,"larger","No","No","No","remember","medal","remember","devil",5,"remember"
"19331",2,"banana","basket",3020.63500000071,2,4,"blue","remember","blue",1493.14200000203,"larger","No","No","No","remember","medal","remember","devil",6,"remember"
"19331",2,"banana","",5321.96599999827,3,4,"blue","remember","blue",1493.14200000203,"larger","No","No","No","remember","medal","remember","devil",NA,NA
"19331",2,"statue","phone",5288.23900000332,1,24,"blue","remember","blue",788.06699999806,"larger","No","No","No","process","bowl","remember","newspaper",14,"process"
"19331",2,"statue","",6672.31500000146,2,24,"blue","remember","blue",788.06699999806,"larger","No","No","No","process","bowl","remember","newspaper",NA,NA
"19331",2,"cookie","toast",2546.43200000073,1,12,"blue","process","red",962.618999998027,"smaller","No","No","No","process","tower","process","earth",8,"remember"
"19331",2,"cookie","soda",1850.94800000126,2,12,"blue","process","red",962.618999998027,"smaller","No","No","No","process","tower","process","earth",18,"remember"
"19331",2,"cookie","",7556.2529999984,3,12,"blue","process","red",962.618999998027,"smaller","No","No","No","process","tower","process","earth",NA,NA
"19331",2,"phone","statue",3891.49700000207,1,14,"blue","process","red",2128.17899999843,"smaller","No","No","No","process","earth","process","dentist",24,"remember"
"19331",2,"phone","",8073.35199999844,2,14,"blue","process","red",2128.17899999843,"smaller","No","No","No","process","earth","process","dentist",NA,NA
"19331",2,"pillow","statue",3824.11999999848,1,26,"blue","process","red",2459.7790000001,"larger","No","No","No","remember","newspaper","remember","apple",24,"remember"
"19331",2,"pillow","",8140.27699999907,2,26,"blue","process","red",2459.7790000001,"larger","No","No","No","remember","newspaper","remember","apple",NA,NA
"19331",2,"steak","pipe",2254.26399999741,1,30,"blue","remember","blue",2716.20199999784,"larger","No","No","No","process","pipe","process","curtain",29,"process"
"19331",2,"steak","",9707.95800000243,2,30,"blue","remember","blue",2716.20199999784,"larger","No","No","No","process","pipe","process","curtain",NA,NA
"19331",2,"basket","banana",3678.97699999949,1,6,"blue","remember","blue",2399.43100000056,"smaller","No","No","No","remember","devil","process","airplane",4,"remember"
"19331",2,"basket","devil",3608.70599999663,2,6,"blue","remember","blue",2399.43100000056,"smaller","No","No","No","remember","devil","process","airplane",5,"remember"
"19331",2,"basket","",4671.20900000236,3,6,"blue","remember","blue",2399.43100000056,"smaller","No","No","No","remember","devil","process","airplane",NA,NA
"19331",2,"sheep","cookie",4092.67899999779,1,10,"blue","remember","blue",968.046000001661,"larger","No","No","No","remember","liver","process","tower",12,"process"
"19331",2,"sheep","",7889.74299999746,2,10,"blue","remember","blue",968.046000001661,"larger","No","No","No","remember","liver","process","tower",NA,NA
"19331",2,"string","pipe",6216.71999999799,1,28,"blue","process","red",1064.84899999842,"smaller","No","No","No","remember","apple","process","pipe",29,"process"
"19331",2,"string","phone",1467.60799999791,2,28,"blue","process","red",1064.84899999842,"smaller","No","No","No","remember","apple","process","pipe",14,"process"
"19331",2,"string","",4270.81100000185,3,28,"blue","process","red",1064.84899999842,"smaller","No","No","No","remember","apple","process","pipe",NA,NA
"19331",2,"sandwich","banana",6588.96899999748,1,20,"blue","remember","blue",1085.6179999978,"smaller","No","No","No","remember","robot","process","bible",4,"remember"
"19331",2,"sandwich","ocean",2047.76699999999,2,20,"blue","remember","blue",1085.6179999978,"smaller","No","No","No","remember","robot","process","bible",NA,NA
"19331",2,"sandwich","",3319.73999999755,3,20,"blue","remember","blue",1085.6179999978,"smaller","No","No","No","remember","robot","process","bible",NA,NA
"19331",2,"bush","string",4271.41299999808,1,2,"blue","process","red",1123.9309999969,"larger","No","No","No","process","whistle","remember","medal",28,"process"
"19331",2,"bush","basket",6841.05499999668,2,2,"blue","process","red",1123.9309999969,"larger","No","No","No","process","whistle","remember","medal",6,"remember"
"19331",2,"bush","",834.458000002778,3,2,"blue","process","red",1123.9309999969,"larger","No","No","No","process","whistle","remember","medal",NA,NA
"19331",2,"underwear","",11976.7469999972,1,16,"blue","process","red",5143.23100000201,"larger","No","No","No","process","dentist","remember","couch",NA,NA
"19329",2,"statue","dog",8945.22499999905,1,2,"red","remember","red",1030.35599999869,"larger","No","No","Yes","process","butler","remember","goat",9,"remember"
"19329",2,"statue","",3028.72300000011,2,2,"red","remember","red",1030.35599999869,"larger","No","No","Yes","process","butler","remember","goat",NA,NA
"19329",2,"frog","valley",5493.21799999999,1,30,"red","remember","red",1817.66600000043,"smaller","No","No","Yes","process","devil","process","sandwich",22,"process"
"19329",2,"frog","dog",6485.65299999702,2,30,"red","remember","red",1817.66600000043,"smaller","No","No","Yes","process","devil","process","sandwich",9,"remember"
"19329",2,"jungle","castle",2672.24799999921,1,20,"red","process","blue",882.885999996972,"larger","No","No","Yes","process","whistle","remember","dentist",NA,NA
"19329",2,"jungle","",9314.2249999973,2,20,"red","process","blue",882.885999996972,"larger","No","No","Yes","process","whistle","remember","dentist",NA,NA
"19329",2,"pizza","house",6617.48900000006,1,10,"red","process","blue",3184.1749999969,"smaller","No","No","Yes","remember","dog","process","phone",NA,NA
"19329",2,"pizza","goat",663.699999998906,2,10,"red","process","blue",3184.1749999969,"smaller","No","No","Yes","remember","dog","process","phone",3,"remember"
"19329",2,"pizza","",4675.48399999773,3,10,"red","process","blue",3184.1749999969,"smaller","No","No","Yes","remember","dog","process","phone",NA,NA
"19329",2,"potato","garden",4207.26299999969,1,28,"red","remember","red",1646.83599999757,"smaller","No","No","Yes","remember","bike","process","devil",NA,NA
"19329",2,"potato","palace",6941.65600000031,2,28,"red","remember","red",1646.83599999757,"smaller","No","No","Yes","remember","bike","process","devil",13,"remember"
"19329",2,"potato","",87.1079999996582,3,28,"red","remember","red",1646.83599999757,"smaller","No","No","Yes","remember","bike","process","devil",NA,NA
"19329",2,"potato","",717.496999997529,4,28,"red","remember","red",1646.83599999757,"smaller","No","No","Yes","remember","bike","process","devil",NA,NA
"19329",2,"beach","dog",4917.43499999691,1,8,"red","remember","red",2348.33199999889,"larger","No","No","Yes","process","tiger","remember","dog",9,"remember"
"19329",2,"beach","goat",4559.71799999895,2,8,"red","remember","red",2348.33199999889,"larger","No","No","Yes","process","tiger","remember","dog",3,"remember"
"19329",2,"beach","",2478.67399999709,3,8,"red","remember","red",2348.33199999889,"larger","No","No","Yes","process","tiger","remember","dog",NA,NA
"19329",2,"elephant","tower",5169.45199999819,1,24,"red","process","blue",1232.08899999707,"larger","No","No","Yes","process","costume","process","heart",NA,NA
"19329",2,"elephant","",6801.82499999972,2,24,"red","process","blue",1232.08899999707,"larger","No","No","Yes","process","costume","process","heart",NA,NA
"19329",2,"child","eearth",9512.1860000001,1,4,"red","remember","red",5251.09499999962,"larger","No","No","Yes","remember","goat","remember","pipe",NA,NA
"19329",2,"child","",2463.72099999944,2,4,"red","remember","red",5251.09499999962,"larger","No","No","Yes","remember","goat","remember","pipe",NA,NA
"19329",2,"purse","ring",6502.43399999908,1,12,"red","remember","red",1419.71999999764,"larger","No","No","Yes","process","phone","remember","palace",NA,NA
"19329",2,"purse","",5473.41199999815,2,12,"red","remember","red",1419.71999999764,"larger","No","No","Yes","process","phone","remember","palace",NA,NA
"19329",2,"valley","child",2506.81999999948,1,22,"red","process","blue",1192.54299999966,"larger","No","No","Yes","remember","dentist","process","costume",4,"remember"
"19329",2,"valley","ring",7441.71299999964,2,22,"red","process","blue",1192.54299999966,"larger","No","No","Yes","remember","dentist","process","costume",NA,NA
"19329",2,"valley","",2013.20399999712,3,22,"red","process","blue",1192.54299999966,"larger","No","No","Yes","remember","dentist","process","costume",NA,NA
"19329",2,"tank","garden",6641.97299999883,1,18,"red","process","blue",1184.20399999904,"larger","No","No","Yes","process","island","process","whistle",NA,NA
"19329",2,"tank","goat",2190.65099999949,2,18,"red","process","blue",1184.20399999904,"larger","No","No","Yes","process","island","process","whistle",3,"remember"
"19329",2,"tank","",3128.8679999978,3,18,"red","process","blue",1184.20399999904,"larger","No","No","Yes","process","island","process","whistle",NA,NA
"19329",2,"sink","valley",7232.57300000032,1,6,"red","remember","red",1163.95799999998,"larger","No","No","Yes","remember","pipe","process","tiger",22,"process"
"19329",2,"sink","child",1823.50700000022,2,6,"red","remember","red",1163.95799999998,"larger","No","No","Yes","remember","pipe","process","tiger",4,"remember"
"19329",2,"sink","",2910.55799999833,3,6,"red","remember","red",1163.95799999998,"larger","No","No","Yes","remember","pipe","process","tiger",NA,NA
"19329",2,"finger","palace",4799.61099999852,1,16,"red","remember","red",789.434999997204,"smaller","No","No","Yes","process","library","process","island",13,"remember"
"19329",2,"finger","castle",1562.69699999783,2,16,"red","remember","red",789.434999997204,"smaller","No","No","Yes","process","library","process","island",NA,NA
"19329",2,"finger","",5604.47899999935,3,16,"red","remember","red",789.434999997204,"smaller","No","No","Yes","process","library","process","island",NA,NA
"19329",2,"waiter","child",6698.35599999793,1,26,"red","remember","red",763.769999999553,"larger","No","No","Yes","process","heart","remember","bike",4,"remember"
"19329",2,"waiter","ball",5272.05599999754,2,26,"red","remember","red",763.769999999553,"larger","No","No","Yes","process","heart","remember","bike",NA,NA
"19329",2,"newspaper","house",8075.06500000006,1,14,"red","process","blue",1001.38699999684,"smaller","No","No","Yes","remember","palace","process","library",NA,NA
"19329",2,"newspaper","",3909.17399999744,2,14,"red","process","blue",1001.38699999684,"smaller","No","No","Yes","remember","palace","process","library",NA,NA
"19326",2,"branch","bowl",5756.23999999999,1,4,"blue","remember","blue",1919.84000000003,"larger","No","No","Yes","process","lemon","process","bowl",5,"process"
"19326",2,"branch","crown",5020.18000000005,2,4,"blue","remember","blue",1919.84000000003,"larger","No","No","Yes","process","lemon","process","bowl",7,"remember"
"19326",2,"branch","",1124.28000000003,3,4,"blue","remember","blue",1919.84000000003,"larger","No","No","Yes","process","lemon","process","bowl",NA,NA
"19326",2,"fruit","lemon",2333.97999999998,1,2,"blue","remember","blue",1141.29999999999,"smaller","No","No","Yes","process","dessert","process","lemon",3,"process"
"19326",2,"fruit","bowl",6485,2,2,"blue","remember","blue",1141.29999999999,"smaller","No","No","Yes","process","dessert","process","lemon",5,"process"
"19326",2,"fruit","",3068.80000000005,3,2,"blue","remember","blue",1141.29999999999,"smaller","No","No","Yes","process","dessert","process","lemon",NA,NA
"19326",2,"liver","child",6148.14000000001,1,22,"blue","remember","blue",1092.78000000003,"smaller","No","No","Yes","process","lawn","remember","opera",17,"process"
"19326",2,"liver","bedroom",2135.18000000005,2,22,"blue","remember","blue",1092.78000000003,"smaller","No","No","Yes","process","lawn","remember","opera",16,"remember"
"19326",2,"liver","",3587.95999999996,3,22,"blue","remember","blue",1092.78000000003,"smaller","No","No","Yes","process","lawn","remember","opera",NA,NA
"19326",2,"bedroom","child",3391.83999999997,1,16,"blue","remember","blue",1315.47999999998,"larger","No","No","Yes","process","waiter","process","child",17,"process"
"19326",2,"bedroom","satellite",4268.12,2,16,"blue","remember","blue",1315.47999999998,"larger","No","No","Yes","process","waiter","process","child",10,"process"
"19326",2,"bedroom","",4224.35999999999,3,16,"blue","remember","blue",1315.47999999998,"larger","No","No","Yes","process","waiter","process","child",NA,NA
"19326",2,"horn","crown",4372.68000000005,1,6,"blue","process","red",1526.62,"smaller","No","No","Yes","process","bowl","remember","crown",7,"remember"
"19326",2,"horn","palace",1995.04000000004,2,6,"blue","process","red",1526.62,"smaller","No","No","Yes","process","bowl","remember","crown",13,"process"
"19326",2,"horn","",5532.06000000006,3,6,"blue","process","red",1526.62,"smaller","No","No","Yes","process","bowl","remember","crown",NA,NA
"19326",2,"valley","coast",2260.43999999994,1,8,"blue","remember","blue",1306.19999999995,"larger","No","No","Yes","remember","crown","process","taxi",14,"remember"
"19326",2,"valley","waiter",2355.47999999998,2,8,"blue","remember","blue",1306.19999999995,"larger","No","No","Yes","remember","crown","process","taxi",15,"process"
"19326",2,"valley","",7274.14000000001,3,8,"blue","remember","blue",1306.19999999995,"larger","No","No","Yes","remember","crown","process","taxi",NA,NA
"19326",2,"coast","worm",2716.81999999995,1,14,"blue","remember","blue",894.939999999944,"larger","No","No","Yes","process","palace","process","waiter",18,"process"
"19326",2,"coast","brain",2123.69999999995,2,14,"blue","remember","blue",894.939999999944,"larger","No","No","Yes","process","palace","process","waiter",19,"remember"
"19326",2,"coast","",7056.62,3,14,"blue","remember","blue",894.939999999944,"larger","No","No","Yes","process","palace","process","waiter",NA,NA
"19326",2,"worm","opera",2700.04000000004,1,18,"blue","process","red",1128.68000000005,"smaller","No","No","Yes","process","child","remember","brain",23,"remember"
"19326",2,"worm","dragon",2532.83999999997,2,18,"blue","process","red",1128.68000000005,"smaller","No","No","Yes","process","child","remember","brain",24,"process"
"19326",2,"worm","",6252.33999999997,3,18,"blue","process","red",1128.68000000005,"smaller","No","No","Yes","process","child","remember","brain",NA,NA
"19326",2,"priest","brain",4502.83999999997,1,20,"blue","remember","blue",1584.21999999997,"larger","No","No","Yes","remember","brain","process","lawn",19,"remember"
"19326",2,"priest","opera",2554.02000000002,2,20,"blue","remember","blue",1584.21999999997,"larger","No","No","Yes","remember","brain","process","lawn",23,"remember"
"19326",2,"priest","",4828.59999999998,3,20,"blue","remember","blue",1584.21999999997,"larger","No","No","Yes","remember","brain","process","lawn",NA,NA
"19326",2,"bridge","bride",3529.83999999997,1,30,"blue","remember","blue",1183,"larger","No","No","Yes","process","bride","remember","universe",29,"process"
"19326",2,"bridge","phone",5725.14000000001,2,30,"blue","remember","blue",1183,"larger","No","No","Yes","process","bride","remember","universe",25,"process"
"19326",2,"bridge","",2648.97999999998,3,30,"blue","remember","blue",1183,"larger","No","No","Yes","process","bride","remember","universe",NA,NA
"19326",2,"school","lawn",3271.14000000001,1,12,"blue","remember","blue",994.180000000051,"larger","No","No","Yes","remember","tiger","process","palace",21,"process"
"19326",2,"school","jeep",3888.28000000003,2,12,"blue","remember","blue",994.180000000051,"larger","No","No","Yes","remember","tiger","process","palace",27,"remember"
"19326",2,"school","",4693.92000000004,3,12,"blue","remember","blue",994.180000000051,"larger","No","No","Yes","remember","tiger","process","palace",NA,NA
"19326",2,"pistol","dessert",6729.54000000004,1,28,"blue","process","red",1326.80000000005,"smaller","No","No","Yes","remember","jeep","process","bride",1,"process"
"19326",2,"pistol","phone",2801.85999999999,2,28,"blue","process","red",1326.80000000005,"smaller","No","No","Yes","remember","jeep","process","bride",25,"process"
"19326",2,"pistol","",2381.14000000001,3,28,"blue","process","red",1326.80000000005,"smaller","No","No","Yes","remember","jeep","process","bride",NA,NA
"19326",2,"satellite","tiger",2391.07999999996,1,10,"blue","process","red",3193.09999999998,"smaller","No","No","Yes","process","taxi","remember","tiger",11,"remember"
"19326",2,"satellite","taxi",1695,2,10,"blue","process","red",3193.09999999998,"smaller","No","No","Yes","process","taxi","remember","tiger",9,"process"
"19326",2,"satellite","",7811.59999999998,3,10,"blue","process","red",3193.09999999998,"smaller","No","No","Yes","process","taxi","remember","tiger",NA,NA
"19326",2,"dragon","valley",3162.95999999996,1,24,"blue","process","red",1307.52000000002,"smaller","No","No","Yes","remember","opera","process","phone",8,"remember"
"19326",2,"dragon","taxi",1789.88,2,24,"blue","process","red",1307.52000000002,"smaller","No","No","Yes","remember","opera","process","phone",9,"process"
"19326",2,"dragon","",6940.38,3,24,"blue","process","red",1307.52000000002,"smaller","No","No","Yes","remember","opera","process","phone",NA,NA
"19326",2,"chair","liver",2349.71999999997,1,26,"blue","remember","blue",1815.19999999995,"smaller","No","No","Yes","process","phone","remember","jeep",22,"remember"
"19326",2,"chair","brain",1735.06000000006,2,26,"blue","remember","blue",1815.19999999995,"smaller","No","No","Yes","process","phone","remember","jeep",19,"remember"
"19326",2,"chair","",7794.56000000006,3,26,"blue","remember","blue",1815.19999999995,"smaller","No","No","Yes","process","phone","remember","jeep",NA,NA
"19325",2,"bush","forest",3005.2090000005,1,14,"blue","process","red",1092.51399999927,"smaller","No","Yes","Yes","remember","forest","process","valley",13,"remember"
"19325",2,"bush","valley",4242.79200000048,2,14,"blue","process","red",1092.51399999927,"smaller","No","Yes","Yes","remember","forest","process","valley",15,"process"
"19325",2,"bush","",4685.23499999999,3,14,"blue","process","red",1092.51399999927,"smaller","No","Yes","Yes","remember","forest","process","valley",NA,NA
"19325",2,"basket","bacon",2651.08500000078,1,22,"blue","process","red",2034.21599999792,"larger","No","Yes","Yes","remember","bacon","process","guitar",21,"remember"
"19325",2,"basket","guitar",4810.21599999932,2,22,"blue","process","red",2034.21599999792,"larger","No","Yes","Yes","remember","bacon","process","guitar",23,"process"
"19325",2,"basket","",4485.71700000367,3,22,"blue","process","red",2034.21599999792,"larger","No","Yes","Yes","remember","bacon","process","guitar",NA,NA
"19325",2,"dentist","table",2101.58400000271,1,8,"blue","remember","blue",1872.22400000016,"larger","No","Yes","Yes","process","knee","process","table",9,"process"
"19325",2,"dentist","chair",2524.95600000024,2,8,"blue","remember","blue",1872.22400000016,"larger","No","Yes","Yes","process","knee","process","table",NA,NA
"19325",2,"dentist","",7318.46899999992,3,8,"blue","remember","blue",1872.22400000016,"larger","No","Yes","Yes","process","knee","process","table",NA,NA
"19325",2,"heart","bacon",6118.59700000379,1,20,"blue","remember","blue",2306.75200000172,"smaller","No","Yes","Yes","remember","bucket","remember","bacon",21,"remember"
"19325",2,"heart","tire",3082.8670000002,2,20,"blue","remember","blue",2306.75200000172,"smaller","No","Yes","Yes","remember","bucket","remember","bacon",3,"process"
"19325",2,"heart","cup",2539.12899999949,3,20,"blue","remember","blue",2306.75200000172,"smaller","No","Yes","Yes","remember","bucket","remember","bacon",NA,NA
"19325",2,"heart","",202.313000003109,4,20,"blue","remember","blue",2306.75200000172,"smaller","No","Yes","Yes","remember","bucket","remember","bacon",NA,NA
"19325",2,"nurse","dentist",7226.03599999892,1,10,"blue","process","red",5056.51900000079,"smaller","No","Yes","Yes","process","table","remember","castle",8,"remember"
"19325",2,"nurse","",4734.41399999906,2,10,"blue","process","red",5056.51900000079,"smaller","No","Yes","Yes","process","table","remember","castle",NA,NA
"19325",2,"toast","coast",7142.63900000183,1,12,"blue","process","red",927.044999997946,"smaller","No","Yes","Yes","remember","castle","remember","forest",5,"remember"
"19325",2,"toast","house",2039.87799999898,2,12,"blue","process","red",927.044999997946,"smaller","No","Yes","Yes","remember","castle","remember","forest",6,"remember"
"19325",2,"toast","",2752.48800000176,3,12,"blue","process","red",927.044999997946,"smaller","No","Yes","Yes","remember","castle","remember","forest",NA,NA
"19325",2,"turtle","glove",3777.08200000017,1,2,"blue","remember","blue",1115.42499999818,"smaller","No","Yes","Yes","process","elephant","process","tire",4,"remember"
"19325",2,"turtle","",4468.01299999794,2,2,"blue","remember","blue",1115.42499999818,"smaller","No","Yes","Yes","process","elephant","process","tire",NA,NA
"19325",2,"turtle","",3702.24100000202,3,2,"blue","remember","blue",1115.42499999818,"smaller","No","Yes","Yes","process","elephant","process","tire",NA,NA
"19325",2,"opera","spider",6142.37500000128,1,30,"blue","remember","blue",2613.09200000169,"larger","No","Yes","Yes","remember","spider","process","pistol",29,"remember"
"19325",2,"opera","",5817.98000000149,2,30,"blue","remember","blue",2613.09200000169,"larger","No","Yes","Yes","remember","spider","process","pistol",NA,NA
"19325",2,"glove","turtle",5859.66200000176,1,4,"blue","remember","blue",912.974000003538,"smaller","No","Yes","Yes","process","tire","remember","coast",2,"remember"
"19325",2,"glove","coast",1206.21799999767,2,4,"blue","remember","blue",912.974000003538,"smaller","No","Yes","Yes","process","tire","remember","coast",5,"remember"
"19325",2,"glove","",1957.60900000297,3,4,"blue","remember","blue",912.974000003538,"smaller","No","Yes","Yes","process","tire","remember","coast",NA,NA
"19325",2,"glove","",2902.18199999793,4,4,"blue","remember","blue",912.974000003538,"smaller","No","Yes","Yes","process","tire","remember","coast",NA,NA
"19325",2,"house","",8207.87600000214,1,6,"blue","remember","blue",1035.09299999976,"smaller","No","Yes","Yes","remember","coast","process","knee",NA,NA
"19325",2,"house","",3751.95900000038,2,6,"blue","remember","blue",1035.09299999976,"smaller","No","Yes","Yes","remember","coast","process","knee",NA,NA
"19325",2,"bridge","spider",5952.81000000238,1,28,"blue","remember","blue",1351.14899999823,"larger","No","Yes","Yes","process","whistle","remember","spider",29,"remember"
"19325",2,"bridge","",6018.16399999813,2,28,"blue","remember","blue",1351.14899999823,"larger","No","Yes","Yes","process","whistle","remember","spider",NA,NA
"19325",2,"chin","",11984.7739999999,1,24,"blue","process","red",1473.95600000466,"smaller","No","Yes","Yes","process","guitar","remember","sweater",NA,NA
"19325",2,"school","bush",8407.64500000351,1,16,"blue","process","red",2251.28199999977,"smaller","No","Yes","Yes","process","valley","process","cloud",14,"process"
