"id","listid","study_position","color_condition","trial_condition","presented_color","word1","presented_position","studyRT","resp","expect_test","use_help","exp_duration","recall_all_q","output_pos1","testRT1","recall_acc","exclude","loc_resp","loc_rt","loc_test_serial_position","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","pos_prioritem1","pos_prioritem","math_acc","n","loc_acc"
"100",1,11,"red","remember","red","robot","2",1567.63099998405,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"1",2217.61199998262,15,"remember","remember",2.5,"remember3","2","2",1,10,0
"100",1,12,"red","remember","red","valley","4",2437.53999999937,"larger","No","No",15.0062481666663,"Yes",1,3789.6330000009,1,FALSE,"4",1713.24199999799,13,"remember","remember",2.5,"remember3","2","2",1,10,1
"100",1,13,"red","remember","red","soldier","3",1549.35500000068,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"1",1716.54399998544,16,"remember","remember",2.5,"remember3","4","4",1,10,0
"100",1,14,"red","process","blue","tooth","1",2869.69200000353,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",2.5,"remember3","3","3",1,10,NA
"100",1,15,"red","remember","red","horn","1",3181.70999998556,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",1688.67299997958,14,"process","process",-0.5,"process1","1","1",1,10,0
"100",1,16,"red","process","blue","mouse","2",1676.15799999182,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","1","1",1,10,NA
"100",1,17,"red","remember","red","pipe","4",3882.07499998898,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1606.02099998493,5,"process","process",-0.5,"process1","2","2",1,10,0
"100",1,18,"red","process","blue","sweater","3",5604.38899999802,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","4","4",1,10,NA
"100",1,19,"red","process","blue","pole","2",2034.82800000126,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","3","3",1,10,NA
"100",1,20,"red","remember","red","circus","1",1420.861000003,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"1",1469.37899999716,4,"process","process",-1.5,"process2","2","2",1,10,1
"100",1,21,"red","remember","red","glove","2",2564.48899998952,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",1387.64899999782,10,"remember","remember",0.5,"remember1","1","1",1,10,0
"100",1,22,"red","remember","red","school","1",1047.22299999645,"larger","No","No",15.0062481666663,"Yes",2,3700.00599997735,1,FALSE,"3",1279.86399998894,8,"remember","remember",1.5,"remember2","2","2",1,10,0
"100",1,23,"red","remember","red","eagle","1",1151.09600000334,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",1443.07999999705,12,"remember","remember",2.5,"remember3","1","1",1,10,0
"100",1,24,"red","process","blue","skull","4",4188.34099997737,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",2.5,"remember3","1","1",1,10,NA
"100",1,25,"red","process","blue","bucket","1",1531.61800000427,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","4","4",1,10,NA
"100",1,26,"red","process","blue","needle","3",1392.18800000363,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-1.5,"process2","1","1",1,10,NA
"100",1,27,"red","remember","red","chicken","3",2783.18900000356,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",1994.32999999396,6,"process","process",-2.5,"process3","3","3",1,10,1
"100",1,28,"red","process","blue","underwear","4",1685.92599998158,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","3","3",1,10,NA
"100",1,29,"red","process","blue","nanny","2",1884.74599998043,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","4","4",1,10,NA
"100",1,30,"red","process","blue","elevator","4",1613.6279999853,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-1.5,"process2","2","2",1,10,NA
"100",1,31,"red","process","blue","devil","2",1405.23899997748,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-2.5,"process3","4","4",1,10,NA
"100",1,32,"red","process","blue","ocean","3",1419.9519999912,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-2.5,"process3","2","2",1,10,NA
"100",2,1,"red","process","blue","doctor","1",4572.26499997848,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1411.92699998245,15,NA,NA,NA,NA,"3","3",1,10,0
"100",2,2,"red","process","blue","basement","1",1400.82399998361,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1135.49699999741,32,"process","process",-0.5,"process1","1","1",1,10,0
"100",2,3,"red","process","blue","whistle","1",1129.83699998481,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",1935.4679999873,27,"process","process",-1.5,"process2","1","1",1,10,0
"100",2,4,"red","process","blue","wallet","2",1665.03699998441,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",1272.92599999101,16,"process","process",-2.5,"process3","1","1",1,10,0
"100",2,5,"red","process","blue","harbor","2",1672.59300000186,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",2206.65199999313,17,"process","process",-2.5,"process3","2","2",1,10,0
"100",2,6,"red","remember","red","tent","4",1198.09499998007,"larger","No","No",15.0062481666663,"Yes",2,1359.74199999846,1,FALSE,"4",980.43899997836,14,"process","process",-2.5,"process3","2","2",1,10,1
"100",2,7,"red","remember","red","branch","4",1328.4700000044,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",2422.59199998097,5,"remember","remember",0.5,"remember1","4","4",1,10,0
"100",2,8,"red","process","blue","jungle","2",1865.93999999948,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1497.14299998747,8,"remember","remember",1.5,"remember2","4","4",1,10,1
"100",2,9,"red","remember","red","tank","2",817.632999977097,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"1",709.056999990251,19,"process","process",-0.5,"process1","2","2",1,10,0
"100",2,10,"red","remember","red","orange","1",2705.25499999989,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"1",731.846999997972,23,"remember","remember",0.5,"remember1","2","2",1,10,1
"100",2,11,"red","process","blue","cherry","4",1823.63200000452,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",1128.75500000233,30,"remember","remember",1.5,"remember2","1","1",1,10,1
"100",2,12,"red","process","blue","clinic","4",1019.82599999418,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",231.32799999055,24,"process","process",-0.5,"process1","4","4",1,10,1
"100",2,13,"red","process","blue","carpet","4",966.572999984026,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",1430.6349999801,28,"process","process",-1.5,"process2","4","4",1,10,0
"100",2,14,"red","remember","red","cloud","2",1345.74499998975,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",1009.94200000353,12,"process","process",-2.5,"process3","4","4",1,10,0
"100",2,15,"red","process","blue","bedroom","2",1047.77499998326,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1327.6929999952,3,"remember","remember",0.5,"remember1","2","2",1,10,1
"100",2,16,"red","remember","red","worm","4",2141.84199998574,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",961.231999983778,20,"process","process",-0.5,"process1","2","2",1,10,1
"100",2,17,"red","remember","red","concert","2",1059.18999998888,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1362.85799998441,21,"remember","remember",0.5,"remember1","4","4",1,10,1
"100",2,18,"red","remember","red","belt","1",1241.17099999136,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",1036.40799998457,7,"remember","remember",1.5,"remember2","2","2",1,10,0
"100",2,19,"red","remember","red","robin","3",1140.40299999819,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1080.22499998333,4,"remember","remember",2.5,"remember3","1","1",1,10,0
"100",2,20,"red","process","blue","cigar","3",1604.81399997987,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",1184.28500000504,29,"remember","remember",2.5,"remember3","3","3",1,10,1
"100",2,21,"red","remember","red","virus","4",1461.56399998954,"smaller","No","No",15.0062481666663,"Yes",5,5339.47999998869,1,FALSE,"4",1438.147000005,2,"process","process",-0.5,"process1","3","3",1,10,1
"100",2,22,"red","process","blue","tunnel","3",3684.08999999857,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",2453.82999998354,11,"remember","remember",0.5,"remember1","4","4",1,10,0
"100",2,23,"red","remember","red","earth","3",1216.39099997829,"larger","No","No",15.0062481666663,"Yes",6,7931.51899999322,1,FALSE,"3",1223.44299998204,13,"process","process",-0.5,"process1","3","3",1,10,1
"100",2,24,"red","process","blue","lion","3",3026.93800000066,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",2256.75499997777,31,"remember","remember",0.5,"remember1","3","3",1,10,0
"100",2,25,"red","process","blue","chin","4",1116.14800000447,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"4",2025.70199998689,1,"process","process",-0.5,"process1","3","3",1,10,1
"100",2,26,"red","remember","red","barn","3",1482.86399997689,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",1348.98999998195,18,"process","process",-1.5,"process2","4","4",1,10,1
"100",2,27,"red","process","blue","planet","3",1071.58300000476,"larger","No","No",15.0062481666663,"Yes",7,3605.30899999849,1,FALSE,"3",1250.00099999073,9,"remember","remember",0.5,"remember1","3","3",1,10,1
"100",2,28,"red","remember","red","bowl","3",2899.66999999748,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",1340.46999998763,6,"process","process",-0.5,"process1","3","3",1,10,1
"100",2,29,"red","remember","red","sink","1",1627.35400000017,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1536.1829999953,26,"remember","remember",0.5,"remember1","3","3",1,10,0
"100",2,30,"red","remember","red","clown","1",1112.2590000045,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",2329.4869999974,25,"remember","remember",1.5,"remember2","1","1",1,10,0
"100",2,31,"red","process","blue","taxi","1",877.810999992304,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"1",1844.58499998145,22,"remember","remember",2.5,"remember3","1","1",1,10,1
"100",2,32,"red","remember","red","shotgun","2",2141.76899997704,"smaller","No","No",15.0062481666663,"Yes",3,3436.02599997655,1,FALSE,"2",1207.76099999272,10,"process","process",-0.5,"process1","1","1",1,10,1
"101",1,1,"red","remember","red","frog","2",3504.78799999994,"larger","No","No",14.4728295833333,"Yes",4,2823.62599999999,1,FALSE,"4",2971.23099999991,2,NA,NA,NA,NA,"2","2",0.882352941176471,17,0
"101",1,2,"red","process","blue","clinic","1",1837.25100000011,"larger","No","No",14.4728295833333,"Yes",7,5373.82200000004,1,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","2","2",0.882352941176471,17,NA
"101",1,3,"red","remember","red","guitar","4",1977.96000000005,"larger","No","No",14.4728295833333,"Yes",3,6461.72500000009,1,FALSE,"1",1884.93599999993,1,"process","process",-0.5,"process1","1","1",0.882352941176471,17,0
"101",1,4,"red","remember","red","phone","4",1181.94400000011,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",1911.13100000005,8,"remember","remember",0.5,"remember1","4","4",0.882352941176471,17,0
"101",1,5,"red","process","blue","banana","2",1006.52899999992,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",1.5,"remember2","4","4",0.882352941176471,17,NA
"101",1,6,"red","process","blue","fruit","4",2191.92200000005,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","2","2",0.882352941176471,17,NA
"101",1,7,"red","process","blue","pipe","3",2166.67200000002,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-1.5,"process2","4","4",0.882352941176471,17,NA
"101",1,8,"red","remember","red","nest","4",3156.49500000005,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",2229.97300000011,4,"process","process",-2.5,"process3","3","3",0.882352941176471,17,0
"101",1,9,"red","remember","red","jungle","3",1956.2969999999,"larger","No","No",14.4728295833333,"Yes",2,2288.98800000001,1,FALSE,"3",1256.02400000009,6,"remember","remember",0.5,"remember1","4","4",0.882352941176471,17,1
"101",1,10,"red","process","blue","sink","1",768.438000000082,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",1.5,"remember2","3","3",0.882352941176471,17,NA
"101",1,11,"red","remember","red","statue","4",1636.78999999995,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",3269.00099999993,13,"process","process",-0.5,"process1","1","1",0.882352941176471,17,0
"101",1,12,"red","remember","red","boot","1",3293.54700000011,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",970.220000000088,16,"remember","remember",0.5,"remember1","4","4",0.882352941176471,17,1
"101",1,13,"red","remember","red","pumpkin","2",989.77199999991,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",982.992000000027,7,"remember","remember",1.5,"remember2","1","1",0.882352941176471,17,1
"101",1,14,"red","process","blue","tiger","1",866.332999999955,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",2.5,"remember3","2","2",0.882352941176471,17,NA
"101",1,15,"red","process","blue","soldier","4",965.318999999959,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","1","1",0.882352941176471,17,NA
"101",1,16,"red","remember","red","wrist","1",1065.92899999989,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"4",1517.07299999986,15,"process","process",-1.5,"process2","4","4",0.882352941176471,17,0
"101",1,17,"red","process","blue","knife","2",1104.22500000009,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","1","1",0.882352941176471,17,NA
"101",1,18,"red","remember","red","tower","3",919.722000000009,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"4",1466.56099999999,12,"process","process",-0.5,"process1","2","2",0.882352941176471,17,0
"101",1,19,"red","process","blue","tire","3",870.139999999898,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","3","3",0.882352941176471,17,NA
"101",1,20,"red","process","blue","medal","1",1481.18699999998,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","3","3",0.882352941176471,17,NA
"101",1,21,"red","process","blue","dentist","3",792.051000000094,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-1.5,"process2","1","1",0.882352941176471,17,NA
"101",1,22,"red","process","blue","sheep","3",1127.071,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-2.5,"process3","3","3",0.882352941176471,17,NA
"101",1,23,"red","process","blue","castle","2",850.435999999929,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-2.5,"process3","3","3",0.882352941176471,17,NA
"101",1,24,"red","remember","red","airplane","1",913.372999999905,"larger","No","No",14.4728295833333,"Yes",1,2911.31899999996,1,FALSE,"1",852.37699999992,5,"process","process",-2.5,"process3","2","2",0.882352941176471,17,1
"101",1,25,"red","process","blue","toast","4",1115.59100000001,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","1","1",0.882352941176471,17,NA
"101",1,26,"red","process","blue","spider","2",3383.52100000007,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","4","4",0.882352941176471,17,NA
"101",1,27,"red","remember","red","surgeon","1",912.516000000061,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",1347.18900000013,10,"process","process",-1.5,"process2","2","2",0.882352941176471,17,1
"101",1,28,"red","process","blue","bedroom","4",738.793999999994,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","1","1",0.882352941176471,17,NA
"101",1,29,"red","remember","red","nanny","2",822.387999999919,"larger","No","No",14.4728295833333,"Yes",6,7419.10199999996,1,FALSE,"2",1143.90599999996,11,"process","process",-0.5,"process1","4","4",0.882352941176471,17,1
"101",1,30,"red","remember","red","virus","3",1087.20199999987,"smaller","No","No",14.4728295833333,"Yes",5,2219.1160000001,1,FALSE,"3",920.179999999993,14,"remember","remember",0.5,"remember1","2","2",0.882352941176471,17,1
"101",1,31,"red","remember","red","market","3",919.033999999985,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",1745.11100000009,3,"remember","remember",1.5,"remember2","3","3",0.882352941176471,17,1
"101",1,32,"red","remember","red","corn","2",1143.25200000009,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",972.179000000004,9,"remember","remember",2.5,"remember3","3","3",0.882352941176471,17,1
"101",2,1,"red","process","blue","barn","1",3349.84300000011,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",785.591000000015,4,NA,NA,NA,NA,"2","2",0.882352941176471,17,1
"101",2,2,"red","remember","red","pistol","1",1335.83500000008,"smaller","No","No",14.4728295833333,"Yes",3,2659.43099999998,1,FALSE,"1",1048.71600000013,28,"process","process",-0.5,"process1","1","1",0.882352941176471,17,1
"101",2,3,"red","remember","red","glove","1",1172.39199999988,"smaller","No","No",14.4728295833333,"Yes",2,2009.7030000001,1,FALSE,"1",1095.34999999998,12,"remember","remember",0.5,"remember1","1","1",0.882352941176471,17,1
"101",2,4,"red","remember","red","liver","2",1265.72499999998,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",961.713000000105,10,"remember","remember",1.5,"remember2","1","1",0.882352941176471,17,1
"101",2,5,"red","process","blue","tank","1",1311.6320000001,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",759.763000000035,8,"remember","remember",2.5,"remember3","2","2",0.882352941176471,17,1
"101",2,6,"red","remember","red","jeep","3",1096.90199999989,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",1112.40500000003,18,"process","process",-0.5,"process1","1","1",0.882352941176471,17,1
"101",2,7,"red","process","blue","shotgun","4",1419.12900000019,"larger","No","No",14.4728295833333,"Yes",4,1486.51100000017,1,FALSE,"1",1242.12699999998,24,"remember","remember",0.5,"remember1","3","3",0.882352941176471,17,0
"101",2,8,"red","remember","red","wallet","2",2740.56900000013,"smaller","No","No",14.4728295833333,"Yes",5,1824.69099999999,1,FALSE,"2",931.001000000047,31,"process","process",-0.5,"process1","4","4",0.882352941176471,17,1
"101",2,9,"red","process","blue","church","2",744.683000000194,"larger","No","No",14.4728295833333,"Yes",6,1426.35600000003,1,FALSE,"1",820.702000000048,29,"remember","remember",0.5,"remember1","2","2",0.882352941176471,17,0
"101",2,10,"red","remember","red","dog","2",1330.55499999993,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"4",1244.41500000004,25,"process","process",-0.5,"process1","2","2",0.882352941176471,17,0
"101",2,11,"red","process","blue","apple","3",672.638000000035,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",1067.41300000006,23,"remember","remember",0.5,"remember1","2","2",0.882352941176471,17,0
"101",2,12,"red","process","blue","bacon","2",1001.90100000019,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",890.217999999993,6,"process","process",-0.5,"process1","3","3",0.882352941176471,17,1
"101",2,13,"red","process","blue","pole","3",2840.03899999999,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",1148.95200000005,13,"process","process",-1.5,"process2","2","2",0.882352941176471,17,0
"101",2,14,"red","remember","red","lawn","1",1186.402,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",795.540000000037,16,"process","process",-2.5,"process3","3","3",0.882352941176471,17,1
"101",2,15,"red","process","blue","tunnel","1",715.626999999979,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",1425.03500000003,22,"remember","remember",0.5,"remember1","1","1",0.882352941176471,17,0
"101",2,16,"red","process","blue","cherry","3",3776.63199999998,"smaller","No","No",14.4728295833333,"Yes",9,7427.7570000001,1,FALSE,"3",986.866000000155,9,"process","process",-0.5,"process1","1","1",0.882352941176471,17,1
"101",2,17,"red","process","blue","bone","3",2766.79700000014,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"4",1163.73900000006,26,"process","process",-1.5,"process2","3","3",0.882352941176471,17,0
"101",2,18,"red","process","blue","pearl","1",1123.49400000006,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",1561.16300000018,7,"process","process",-2.5,"process3","3","3",0.882352941176471,17,1
"101",2,19,"red","remember","red","cage","2",943.552999999956,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",1439.77099999995,14,"process","process",-2.5,"process3","1","1",0.882352941176471,17,1
"101",2,20,"red","remember","red","earth","3",861.67499999993,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",1075.03700000001,27,"remember","remember",0.5,"remember1","2","2",0.882352941176471,17,1
"101",2,21,"red","process","blue","doctor","2",1498.16100000008,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",1045.29100000008,30,"remember","remember",1.5,"remember2","3","3",0.882352941176471,17,0
"101",2,22,"red","remember","red","cave","4",675.300000000047,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",1261.152,15,"process","process",-0.5,"process1","2","2",0.882352941176471,17,0
"101",2,23,"red","process","blue","casino","2",1280.18299999996,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",892.429999999935,17,"remember","remember",0.5,"remember1","4","4",0.882352941176471,17,1
"101",2,24,"red","remember","red","cocktail","1",690.023999999976,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",1915.73800000001,32,"process","process",-0.5,"process1","2","2",0.882352941176471,17,0
"101",2,25,"red","remember","red","hammer","4",2166.576,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"2",1338.3820000001,20,"remember","remember",0.5,"remember1","1","1",0.882352941176471,17,0
"101",2,26,"red","remember","red","belt","4",1169.25399999996,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"4",1441.79099999997,5,"remember","remember",1.5,"remember2","4","4",0.882352941176471,17,1
"101",2,27,"red","remember","red","highway","3",642.631000000052,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",1283.85300000012,2,"remember","remember",2.5,"remember3","4","4",0.882352941176471,17,1
"101",2,28,"red","process","blue","school","4",727.011000000057,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"3",1050.71000000008,21,"remember","remember",2.5,"remember3","3","3",0.882352941176471,17,0
"101",2,29,"red","remember","red","crown","3",983.011000000057,"larger","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"1",2717.77399999998,1,"process","process",-0.5,"process1","4","4",0.882352941176471,17,0
"101",2,30,"red","process","blue","diamond","4",1376.07600000012,"smaller","No","No",14.4728295833333,"Yes",8,7055.08600000001,1,FALSE,"4",1056.84600000025,19,"remember","remember",0.5,"remember1","3","3",0.882352941176471,17,1
"101",2,31,"red","remember","red","knee","4",1428.21700000006,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"4",1188.68299999996,11,"process","process",-0.5,"process1","4","4",0.882352941176471,17,1
"101",2,32,"red","process","blue","jewelry","4",1594.38399999996,"smaller","No","No",14.4728295833333,"Yes",NA,NA,0,FALSE,"4",1186.1540000001,3,"remember","remember",0.5,"remember1","4","4",0.882352941176471,17,1
"102",1,1,"blue","process","red","house","4",6154.2799999889,"larger","yes","No",14.3313289166661,"No",NA,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA,"4","4",0.428571428571429,7,NA
"102",1,2,"blue","remember","blue","robin","2",2041.5650000257,"smaller","yes","No",14.3313289166661,"No",2,3841.74300006655,1,TRUE,"2",9715.45300009538,1,"process","process",-0.5,"process1","4","4",0.428571428571429,7,1
"102",1,3,"blue","remember","blue","brick","1",6014.33399998801,"larger","yes","No",14.3313289166661,"No",NA,NA,0,TRUE,"1",1597.38200008328,6,"remember","remember",0.5,"remember1","2","2",0.428571428571429,7,1
"102",1,4,"blue","process","red","jeep","3",1681.85600007257,"larger","yes","No",14.3313289166661,"No",NA,NA,0,TRUE,NA,NA,NA,"remember","remember",1.5,"remember2","1","1",0.428571428571429,7,NA
