"id","listid","eq_id","question","answer","duration","use_help","cresp"
"19086",1,8,"(21 - 9) / 4",3,9218.28000000003,"No",3
"19086",1,9,"(3 + 3) / 2",3,5969.76000000001,"No",3
"19086",1,10,"(8 + 8) / 4",NA,1616.82000000001,"No",4
"19085",1,1,"(2 + 6) * 5",25,7217.81300000258,"No",40
"19085",1,2,"(2 + 3) * 4",20,4971.30599999771,"No",20
"19085",1,3,"(11 + 23) * 3",102,14706.8519999979,"No",102
"19085",1,4,"(50 - 23) / 9",3,13797.1970000085,"No",3
"19085",1,5,"(23 - 17) / 6",0,8393.80000000709,"No",1
"19085",1,6,"(9 - 3) * 3",18,9849.48100000154,"No",18
"19085",1,7,"(3 + 6) / 3",NA,968.048000007693,"No",3
"19084",1,1,"(7 + 8) * 3",45,9494.38299999677,"No",45
"19084",1,2,"(3 + 6) / 3",3,4444.41200000513,"No",3
"19084",1,3,"(13 + 23) * 2",18,5588.84899999492,"No",72
"19084",1,4,"(2 + 3) * 4",20,4333.11999999708,"No",20
"19084",1,5,"(11 + 23) * 3",102,10439.1019999988,"No",102
"19084",1,6,"(2 + 2) * 2",8,3268.95300000155,"No",8
"19084",1,7,"(4 + 3) * 9",63,4520.20100000547,"No",63
"19084",1,8,"(6 + 6) / 3",4,3689.10199999943,"No",4
"19084",1,9,"(7 + 13) / 4",5,3223.80300000147,"No",5
"19084",1,10,"(21 + 12) / 11",3,5493.74499999959,"No",3
"19084",1,11,"(19 - 4) * 5",3,2357.9320000044,"No",75
"19084",1,12,"(3 + 3) * 8",NA,2947.89899999404,"No",48
"19083",1,1,"(11 + 23) * 3",102,11191.9549999989,"No",102
"19083",1,2,"(2 + 2) * 2",8,3887.35100000026,"No",8
"19083",1,3,"(2 + 6) * 5",40,3923.01699999894,"No",40
"19083",1,4,"(9 - 3) * 3",18,2173.06700000004,"No",18
"19083",1,5,"(7 - 4) * 8",24,2245.75699999905,"No",24
"19083",1,6,"(4 - 3) * 8",8,1803.62000000011,"No",8
"19083",1,7,"(2 + 3) * 4",20,1850.70800000045,"No",20
"19083",1,8,"(12 - 3) / 3",3,2432.0850000002,"No",3
"19083",1,9,"(17 + 23) / 8",5,3514.31300000008,"No",5
"19083",1,10,"(3 + 3) / 2",3,2936.84800000035,"No",3
"19083",1,11,"(3 + 3) * 3",18,4730.57199999888,"No",18
"19083",1,12,"(8 + 3) * 4",44,2276.73099999956,"No",44
"19083",1,13,"(6 + 6) / 3",4,2177.68200000038,"No",4
"19083",1,14,"(3 + 9) * 2",24,3626.1950000003,"No",24
"19083",1,15,"(21 + 12) / 11",3,5160.71799999918,"No",3
"19083",1,16,"(4 + 3) * 9",63,3225.86800000025,"No",63
"19083",1,17,"(2 + 5) * 2",14,2651.23800000001,"No",14
"19082",1,1,"(6 + 6) / 3",4,6250.32000005868,"No",4
"19082",1,2,"(6 + 6) * 6",72,8442.2380000354,"No",72
"19082",1,3,"(3 + 3) / 2",3,6950.91000001208,"No",3
"19082",1,4,"(7 + 2) * 8",56,20354.856,"No",72
"19082",1,5,"(9 + 3) * 2",24,3989.33799999254,"No",24
"19082",1,6,"(4 + 3) * 9",63,8633.83200007264,"No",63
"19082",1,7,"(12 - 3) / 3",3,5194.51200002793,"No",3
"19081",1,1,"(3 + 3) * 8",48,13315.9789999996,"No",48
"19081",1,2,"(2 + 2) * 16",64,7067.52399999998,"No",64
"19081",1,3,"(19 + 11) / 5",6,6978.71399999969,"No",6
"19081",1,4,"(2 + 6) * 5",40,5456.91999999987,"No",40
"19081",1,5,"(1 + 7) * 6",48,4710.19599999976,"No",48
"19081",1,6,"(50 - 23) / 9",3,15950.6239999997,"No",3
"19081",1,7,"(9 - 3) * 3",18,5892.3539999997,"No",18
"19081",1,8,"(2 + 2) / 2",NA,534.371999999625,"No",2
"19079",1,1,"(4 - 3) * 8",8,7884.54900000014,"No",8
"19079",1,2,"(4 + 4) * 4",32,11074.967,"No",32
"19079",1,3,"(7 + 2) * 8",72,12259.7840000001,"No",72
"19079",1,4,"(2 + 6) * 5",40,6013.92000000016,"No",40
"19079",1,5,"(9 - 5) * 4",16,8023.95600000003,"No",16
"19079",1,6,"(3 + 3) * 8",48,7898.59800000009,"No",48
"19079",1,7,"(13 + 23) * 2",NA,6769.31000000003,"No",72
"19078",1,1,"(2 + 5) * 2",20,4532.17400000195,"No",14
"19078",1,2,"(3 + 3) / 2",3,3830.60200000086,"No",3
"19078",1,3,"(4 - 3) * 8",8,3051.70300000091,"No",8
"19078",1,4,"(8 + 8) / 4",4,2861.24599999998,"No",4
"19078",1,5,"(4 + 4) * 4",24,4747.03300000617,"No",32
"19078",1,6,"(50 - 23) / 9",3,4535.64400000285,"No",3
"19078",1,7,"(12 - 3) / 3",3,4192.98000000571,"No",3
"19078",1,8,"(11 + 23) * 3",102,10981.9820000004,"No",102
"19078",1,9,"(9 - 3) * 3",18,4481.02200000183,"No",18
"19078",1,10,"(3 + 3) * 8",56,7194.20800000418,"No",48
"19078",1,11,"(19 - 4) * 5",115,9199.22000000562,"No",75
"19078",1,12,"(4 + 3) * 4",NA,219.792999999307,"No",28
"19073",1,1,"(19 - 4) * 5",75,12184.5870000233,"No",75
"19073",1,2,"(6 + 6) * 6",72,7268.27299999277,"No",72
"19073",1,3,"(2 + 5) * 2",20,2954.11700000564,"No",14
"19073",1,4,"(3 + 6) / 3",3,2802.23500004056,"No",3
"19073",1,5,"(5 + 3) / 4",2,2840.54700003707,"No",2
"19073",1,6,"(9 - 3) * 3",9,2277.97100000063,"No",18
"19073",1,7,"(4 + 2) * 9",72,4858.16400003518,"No",54
"19073",1,8,"(45 - 23) / 11",2,7779.33900001724,"No",2
"19073",1,9,"(21 + 12) / 11",3,7809.15900000799,"No",3
"19073",1,10,"(3 + 3) * 8",48,6266.82600001595,"No",48
"19073",1,11,"(3 + 9) * 2",24,2791.53300002002,"No",24
"19074",1,1,"(3 + 6) / 3",3,5853.94,"No",3
"19074",1,2,"(7 + 8) * 3",45,6028.29999999999,"No",45
"19074",1,3,"(4 + 4) * 4",32,5064.88,"No",32
"19074",1,4,"(3 + 3) * 8",72,4733.95999999999,"No",48
"19074",1,5,"(7 + 13) / 4",5,4304.57999999999,"No",5
"19074",1,6,"(21 + 12) / 11",3,5525.44,"No",3
"19074",1,7,"(3 + 3) / 2",3,5427.79999999999,"No",3
"19074",1,8,"(12 - 3) / 3",3,3534.10000000001,"No",3
"19074",1,9,"(2 + 5) * 2",14,3694.54000000001,"No",14
"19074",1,10,"(21 - 9) / 4",3,6245.14000000001,"No",3
"19074",1,11,"(13 + 23) * 2",NA,9208.23999999999,"No",72
"19072",1,1,"(4 + 3) * 4",28,6905.47999999527,"No",28
"19072",1,2,"(2 + 6) * 5",40,3250.25000000023,"No",40
"19072",1,3,"(13 + 23) * 2",72,9029.42400000035,"No",72
"19072",1,4,"(4 - 3) * 8",8,2880.89999999467,"No",8
"19072",1,5,"(19 + 11) / 5",6,7419.35299999616,"No",6
"19072",1,6,"(7 + 8) * 3",45,4754.05600000155,"No",45
"19072",1,7,"(7 - 4) * 8",24,2587.107999995,"No",24
"19072",1,8,"(50 - 23) / 9",3,4806.94199999492,"No",3
"19072",1,9,"(9 + 3) * 2",24,2535.67999999993,"No",24
"19072",1,10,"(11 + 23) * 3",102,15697.1870000014,"No",102
"19071",1,1,"(17 + 23) / 8",5,4192.40199999989,"No",5
"19071",1,2,"(6 + 6) * 6",72,12307.4910000006,"No",72
"19071",1,3,"(4 + 3) * 9",63,10021.0980000006,"No",63
"19071",1,4,"(4 + 4) * 4",32,7971.40200000047,"No",32
"19071",1,5,"(7 + 2) * 8",56,7906.8249999999,"No",72
"19071",1,6,"(2 + 5) * 2",14,3332.9580000001,"No",14
"19071",1,7,"(9 - 5) * 4",8,6166.79300000041,"No",16
"19071",1,8,"(2 + 2) * 16",NA,7918.39500000014,"No",64
"19070",1,1,"(7 - 4) * 8",24,19644,"No",24
"19070",1,2,"(50 - 23) / 9",3,6719,"No",3
"19070",1,3,"(2 + 2) * 2",8,4395.00000000006,"No",8
"19070",1,4,"(21 - 9) / 4",3,5937,"No",3
"19070",1,5,"(45 - 23) / 11",2,5518,"No",2
"19070",1,6,"(3 + 9) * 2",24,3480,"No",24
"19070",1,7,"(3 + 3) * 8",72,3976,"No",48
"19070",1,8,"(2 + 6) * 5",40,3584,"No",40
"19070",1,9,"(9 - 3) * 3",18,4213.00000000006,"No",18
"19070",1,10,"(3 + 6) / 3",NA,2658,"No",3
"19068",1,1,"(4 + 3) * 9",63,13217.8589999957,"No",63
"19068",1,2,"(2 + 5) * 2",20,7230.49100001488,"No",14
"19068",1,3,"(7 + 2) * 8",72,12082.9900000175,"No",72
"19068",1,4,"(50 - 23) / 9",3,5823.8980000001,"No",3
"19068",1,5,"(8 + 8) / 4",4,4298.97799999698,"No",4
"19068",1,6,"(17 + 23) / 8",5,6093.79899999371,"No",5
"19068",1,7,"(19 + 11) / 5",6,4482.26600000169,"No",6
"19068",1,8,"(8 + 3) * 4",44,6296.33000000595,"No",44
"19068",1,9,"(2 + 6) * 5",NA,369.32499999908,"No",40
"19066",1,1,"(7 - 4) * 8",24,5008.90000002104,"No",24
"19066",1,2,"(45 - 23) / 11",2,11723.7420000878,"No",2
"19066",1,3,"(17 + 23) / 8",5,7006.78300004458,"No",5
"19066",1,4,"(13 + 23) * 2",72,8436.95800007781,"No",72
"19066",1,5,"(9 + 3) * 2",24,3289.60399999021,"No",24
"19066",1,6,"(3 + 3) / 2",3,2691.81300008867,"No",3
"19066",1,7,"(3 + 9) * 2",24,2648.07200001867,"No",24
"19066",1,8,"(2 + 2) / 2",2,2326.23100008618,"No",2
"19066",1,9,"(3 + 6) / 3",3,2010.30600008694,"No",3
"19066",1,10,"(12 - 3) / 3",3,2155.6120000456,"No",3
"19066",1,11,"(4 + 3) * 9",63,4871.32100001292,"No",63
"19066",1,12,"(9 - 3) * 3",18,3734.88500000926,"No",18
"19066",1,13,"(8 + 3) * 4",44,3389.28599999438,"No",44
"19066",1,14,"(21 + 12) / 11",NA,550.472000024107,"No",3
"19065",1,1,"(8 + 3) * 4",44,6570.36100002733,"No",44
"19065",1,2,"(4 + 2) * 9",72,7895.68900003884,"No",54
"19065",1,3,"(6 + 6) * 6",72,10884.3309999672,"No",72
"19065",1,4,"(21 + 12) / 11",3,10982.6750000576,"No",3
"19065",1,5,"(3 + 9) * 2",24,6023.01799997373,"No",24
"19065",1,6,"(2 + 3) * 4",20,6397.21200003295,"No",20
"19065",1,7,"(4 + 3) * 4",28,10999.1220000649,"No",28
"19065",1,8,"(4 - 3) * 8",NA,119.784000047774,"No",8
"19064",1,1,"(17 + 23) / 8",5,12026.1750000013,"No",5
"19064",1,2,"(19 + 11) / 5",6,9799.57600000052,"No",6
"19064",1,3,"(4 + 3) * 9",63,5190.18899999984,"No",63
"19064",1,4,"(3 + 3) / 2",3,5893.43000000145,"No",3
"19064",1,5,"(12 - 3) / 3",3,2545.17700000154,"No",3
"19064",1,6,"(8 + 3) * 4",44,2218.8550000008,"No",44
"19064",1,7,"(8 + 8) / 4",2,4656.86199999991,"No",4
"19064",1,8,"(1 + 7) * 6",48,5029.5550000011,"No",48
"19064",1,9,"(23 - 17) / 6",1,9331.00900000072,"No",1
"19064",1,10,"(6 + 6) * 6",NA,3201.5320000003,"No",72
"19063",1,1,"(2 + 2) * 2",8,8388.16800000001,"No",8
"19063",1,2,"(3 + 3) * 3",12,4214.75400000007,"No",18
"19063",1,3,"(21 - 9) / 4",3,12467.478,"No",3
"19063",1,4,"(19 + 11) / 5",6,19337.061,"No",6
"19063",1,5,"(2 + 5) * 2",14,5508.86800000002,"No",14
"19063",1,6,"(19 - 4) * 5",75,8325.44200000004,"No",75
"19063",1,7,"(12 - 3) / 3",NA,1635.52099999983,"No",3
"19062",1,1,"(2 + 2) / 2",2,4779.15700000146,"No",2
"19062",1,2,"(3 + 3) * 3",18,4778.3740000015,"No",18
"19062",1,3,"(9 - 5) * 4",16,4270.44800000114,"No",16
"19062",1,4,"(1 + 7) * 6",42,3999.2570000001,"No",48
"19062",1,5,"(2 + 6) * 5",45,5883.31500000079,"No",40
"19062",1,6,"(9 - 3) * 3",18,3950.85500000036,"No",18
"19062",1,7,"(12 - 3) / 3",3,3946.05400000085,"No",3
"19062",1,8,"(23 - 17) / 6",1,7833.80400000044,"No",1
"19062",1,9,"(3 + 6) / 3",3,3227.91700000118,"No",3
"19062",1,10,"(5 + 3) / 4",2,3345.54900000081,"No",2
"19062",1,11,"(3 + 9) * 2",24,3653.75800000067,"No",24
"19062",1,12,"(2 + 5) * 2",20,4564.96800000162,"No",14
"19062",1,13,"(4 + 3) * 4",28,4680.17800000132,"No",28
"19062",1,14,"(50 - 23) / 9",NA,652.349000001734,"No",3
"19061",1,1,"(13 + 23) * 2",78,6897.90099998144,"No",72
"19061",1,2,"(21 - 9) / 4",3,3091.15900000418,"No",3
"19061",1,3,"(23 - 17) / 6",1,3117.86999998533,"No",1
"19061",1,4,"(2 + 2) * 2",8,2351.11899998377,"No",8
"19061",1,5,"(12 - 3) / 3",3,2407.25999999209,"No",3
"19061",1,6,"(45 - 23) / 11",2,2109.04199998203,"No",2
"19061",1,7,"(17 + 23) / 8",5,2343.09400000446,"No",5
"19061",1,8,"(4 + 3) * 9",63,5319.82599998167,"No",63
"19061",1,9,"(19 + 11) / 5",6,1929.61799999158,"No",6
"19061",1,10,"(6 + 6) / 3",4,2034.4419999891,"No",4
"19061",1,11,"(6 + 6) * 6",72,4447.2119999986,"No",72
"19061",1,12,"(19 - 4) * 5",65,2731.06900000351,"No",75
"19061",1,13,"(2 + 6) * 5",40,2747.84099998762,"No",40
"19061",1,14,"(3 + 3) / 2",3,2771.82399999426,"No",3
"19061",1,15,"(7 - 4) * 8",24,2107.24200000305,"No",24
"19061",1,16,"(2 + 2) / 2",2,2773.25100000366,"No",2
"19061",1,17,"(9 + 3) * 2",24,2476.54199999297,"No",24
"19061",1,18,"(5 + 3) / 4",2,1743.90199998044,"No",2
"19061",1,19,"(1 + 7) * 6",48,2656.33999998058,"No",48
"19061",1,20,"(3 + 3) * 3",18,2412.4930000045,"No",18
"19061",1,21,"(9 - 5) * 4",NA,601.074999995064,"No",16
"19059",1,1,"(12 - 3) / 3",3,4114.56799999916,"No",3
"19059",1,2,"(19 + 11) / 5",6,11644.3769999983,"No",6
"19059",1,3,"(4 + 2) * 9",54,5506.93099999908,"No",54
"19059",1,4,"(3 + 9) * 2",24,6910.29899999901,"No",24
"19059",1,5,"(19 - 4) * 5",75,10145.7180000004,"No",75
"19059",1,6,"(6 + 6) * 6",72,5547.79499999835,"No",72
"19059",1,7,"(23 - 17) / 6",3,16053.4259999993,"No",1
"19058",1,1,"(2 + 2) * 2",8,5674.02300002231,"No",8
"19058",1,2,"(11 + 23) * 3",102,11908.7559999761,"No",102
"19058",1,3,"(9 - 3) * 3",18,8125.05600000147,"No",18
"19058",1,4,"(4 + 3) * 4",28,6359.68100001113,"No",28
"19058",1,5,"(8 + 3) * 4",44,6972.71699998103,"No",44
"19058",1,6,"(8 + 8) / 4",4,7023.30799999874,"No",4
"19058",1,7,"(17 + 23) / 8",5,7443.63500002024,"No",5
"19058",1,8,"(21 - 9) / 4",NA,6355.84399998144,"No",3
"19055",1,1,"(7 + 2) * 8",72,16042.04,"No",72
"19055",1,2,"(2 + 2) * 16",64,18006.26,"No",64
"19055",1,3,"(19 + 11) / 5",6,10174.9,"No",6
"19055",1,4,"(3 + 3) / 2",3,8609.18000000005,"No",3
"19055",1,5,"(4 + 3) * 4",NA,6807.14000000001,"No",28
"19054",1,1,"(19 - 4) * 5",75,14340,"No",75
"19054",1,2,"(4 + 2) * 9",54,7811,"No",54
"19054",1,3,"(2 + 6) * 5",40,5248,"No",40
"19054",1,4,"(19 + 11) / 5",6,5156,"No",6
"19054",1,5,"(6 + 6) * 6",72,4898,"No",72
"19054",1,6,"(1 + 7) * 6",48,7367,"No",48
"19054",1,7,"(50 - 23) / 9",3,7269,"No",3
"19054",1,8,"(23 - 17) / 6",NA,7730,"No",1
"19051",1,1,"(8 + 3) * 4",44,4104.84500000745,"No",44
"19051",1,2,"(3 + 3) / 2",3,3500.89000027583,"No",3
"19051",1,3,"(9 - 3) * 3",18,2501.65100023037,"No",18
"19051",1,4,"(7 + 8) * 3",45,2524.6380002487,"No",45
"19051",1,5,"(6 + 6) / 3",12,4436.59300016018,"No",4
"19051",1,6,"(21 - 9) / 4",3,5811.13000021339,"No",3
"19051",1,7,"(2 + 3) * 4",20,2584.84800002206,"No",20
"19051",1,8,"(19 - 4) * 5",75,5368.02900035525,"No",75
"19051",1,9,"(4 + 4) * 4",32,3548.26399999508,"No",32
"19051",1,10,"(7 + 2) * 8",72,13408.2519999845,"No",72
"19051",1,11,"(2 + 2) * 16",64,4100.89100022949,"No",64
"19051",1,12,"(3 + 9) * 2",24,1954.72100010057,"No",24
"19051",1,13,"(3 + 6) / 3",3,3517.00800026048,"No",3
"19051",1,14,"(23 - 17) / 6",1,2016.72700017254,"No",1
"19051",1,15,"(9 - 5) * 4",NA,435.181000081968,"No",16
"19050",1,1,"(4 + 2) * 9",54,11673.6220000009,"No",54
"19050",1,2,"(7 + 8) * 3",45,8264.02799999999,"No",45
"19050",1,3,"(8 + 3) * 4",44,7820.2860000006,"No",44
"19050",1,4,"(5 + 3) / 4",32,7470.61399999895,"No",2
"19050",1,5,"(9 - 5) * 4",16,10059.8420000002,"No",16
"19050",1,6,"(6 + 6) / 3",4,9877.8189999992,"No",4
"19050",1,7,"(19 + 11) / 5",NA,4706.35699999862,"No",6
"19048",1,1,"(11 + 23) * 3",102,15141.4729999944,"No",102
"19048",1,2,"(19 - 4) * 5",25,4867.11499998244,"No",75
"19048",1,3,"(2 + 3) * 4",20,3258.05599999736,"No",20
"19048",1,4,"(4 + 3) * 4",28,5322.03700001052,"No",28
"19048",1,5,"(2 + 2) * 16",64,6055.53000001103,"No",64
"19048",1,6,"(6 + 6) / 3",4,2915.14300000053,"No",4
"19048",1,7,"(4 + 4) * 4",32,5112.02499999176,"No",32
"19048",1,8,"(4 + 2) * 9",54,4489.12700000923,"No",54
"19048",1,9,"(7 + 8) * 3",45,5716.17299999107,"No",45
"19048",1,10,"(4 - 3) * 8",8,3410.96900001061,"No",8
"19048",1,11,"(45 - 23) / 11",NA,3585.12199998656,"No",2
"19044",1,1,"(4 + 3) * 9",63,10505.94,"No",63
"19044",1,2,"(3 + 9) * 2",24,25146.32,"No",24
"19044",1,3,"(3 + 6) / 3",3,4229.70000000001,"No",3
"19044",1,4,"(8 + 3) * 4",44,3994.71999999997,"No",44
"19044",1,5,"(4 + 2) * 9",54,12899.34,"No",54
"19044",1,6,"(3 + 3) * 8",NA,3100.67999999999,"No",48
"19046",1,1,"(6 + 6) / 3",4,3817.62199999986,"No",4
"19046",1,2,"(3 + 3) / 2",2,1808.86800000051,"No",3
"19046",1,3,"(19 + 11) / 5",6,2543.4989999976,"No",6
"19046",1,4,"(7 + 13) / 4",5,2537.31099999868,"No",5
"19046",1,5,"(9 - 5) * 4",16,2153.12000000253,"No",16
"19046",1,6,"(21 + 12) / 11",3,2525.22200000298,"No",3
"19046",1,7,"(8 + 3) * 4",44,4165.46000000247,"No",44
"19046",1,8,"(4 - 3) * 8",8,1985.49999999962,"No",8
"19046",1,9,"(9 + 3) * 2",24,3065.38199999946,"No",24
"19046",1,10,"(4 + 2) * 9",72,2914.68700000065,"No",54
"19046",1,11,"(4 + 3) * 4",28,4390.29600000058,"No",28
"19046",1,12,"(19 - 4) * 5",125,2763.95999999883,"No",75
"19046",1,13,"(6 + 6) * 6",72,5735.79200000342,"No",72
"19046",1,14,"(1 + 7) * 6",48,3438.15100000042,"No",48
"19046",1,15,"(21 - 9) / 4",3,4974.11899999835,"No",3
"19046",1,16,"(12 - 3) / 3",3,1945.36600000152,"No",3
"19046",1,17,"(7 - 4) * 8",24,3727.00600000314,"No",24
"19046",1,18,"(2 + 3) * 4",20,3139.2610000032,"No",20
