"","word1","larger_p","sizeRT","size_group"
"116","passport",0.09,1438.31699995766,0
"117","peanut",0.02,1387.81250005146,0
"118","pearl",0.04,1411.49400002824,0
"119","penny",0.07,1438.30700000236,0
"120","phone",0.11,1830.3539999998,0
"121","piano",0.94,1290.38599994907,2
"122","pill",0.01,1359.50899976649,0
"123","pillow",0.86,1649.6580000196,2
"124","pilot",0.91,1651.86500009929,2
"125","pipe",0.34,1750.15300000925,1
"126","pistol",0.1,1623.31100000837,0
"127","pizza",0.64,1831.17200000328,1
"128","planet",0.99,1395.82000000002,2
"129","pole",0.73,1993.16800000006,1
"130","potato",0.07,1408.5515000009,0
"131","priest",0.91,1340.24100000004,2
"132","pumpkin",0.83,1717.0950000062,2
"133","purse",0.14,1783.37199999322,0
"134","rabbit",0.4,1743.23900000006,1
"135","railroad",0.93,1486.95099999735,2
"136","ranch",0.88,1406.66499988583,2
"137","robin",0.14,1561.00450000359,0
"138","robot",0.93,1512.53600003059,2
"139","sandwich",0.06,1639.62199984863,0
"140","satellite",0.99,1611,2
"141","school",0.95,1458.22699999844,2
"142","shark",0.89,1310.53000000081,2
"143","sheep",0.97,1454.98,2
"144","shotgun",0.51,1737.84499999983,1
"145","sink",0.88,1538.00000000006,2
"146","skull",0.25,1850.57149996498,1
"147","soda",0.1,1583.08849999862,0
"148","soldier",0.9,1370.8480000837,2
"149","spider",0.01,1502.68999999884,0
"150","stairs",0.9,1455.46999999997,2
"151","statue",0.96,1537.21900002076,2
"152","steak",0.06,1581.15450007926,0
"153","string",0.04,1542.09399999969,0
"154","surgeon",0.98,1621.28500001953,2
"155","sweater",0.88,1534.2375000072,2
"156","table",0.94,1478.23850001189,2
"157","tank",0.92,1665.79200000769,2
"158","taxi",0.97,1475.3650000044,2
"159","tent",0.91,1397.86800000857,2
"160","tiger",0.93,1491.39200000139,2
"161","tire",0.89,1602.24350000083,2
"162","toast",0.03,1453.02800001146,0
"163","tooth",0.05,1235.60650000782,0
"164","towel",0.74,1771.73999999999,1
"165","tower",0.96,1340.16099998227,2
"166","train",0.98,1457.17700002907,2
"167","tunnel",0.91,1495.80600011745,2
"168","turtle",0.47,2031.28700013083,1
"169","underwear",0.07,1677.94099999992,0
"170","universe",0.95,1398.19600004651,2
"171","valley",0.96,1426.19250004651,2
"172","virus",0.13,1522.9034999996,0
"173","waiter",0.94,1411.74150000044,2
"174","wallet",0.06,1343.66400009574,0
"175","whale",0.95,1533.23600000178,2
"176","whistle",0.03,1441.00849999982,0
"177","window",0.87,1648.16399981343,2
"178","wolf",0.97,1540.21100003508,2
"179","worm",0.04,1334.6285000018,0
"180","wrist",0.09,1433.27300000016,0
